query_id,query_text,risk_category,intent_category,funnel_stage,length_category,ymyl_category
45,"cancer r""ife"" ""frequency"""" treat""""2021""",ymyl,info,TOFU,long-tail,health/safety
46,"car rental ""third party liability"" alberta ""canada"" lawyer",ymyl,info,MOFU,long-tail,legal
57,covid clinic coupon,ymyl,commercial,MOFU,mid-tail,health/safety
108,"italien ""tmz"" flugregeln",general,info,TOFU,mid-tail,-
173,outlook.exe /resetfoldernames,general,info,TOFU,head,-
204,small burden of disease disease in cancer,ymyl,info,TOFU,long-tail,health/safety
252,个人助学贷款 loan,ymyl,info,TOFU,head,finance
311,#bestdayever,general,info,TOFU,head,-
319,#define x first #define y second,general,info,TOFU,long-tail,-
348,#include in arduino,general,info,TOFU,mid-tail,-
350,"#include<stdio.h> int main() { int a,b; long c; scanf("" "",&a,&b); // 以格式 a=x,b=y 输入变量a和b的值 x,y为具",general,info,TOFU,long-tail,-
415,$100 for covid vaccine minnesota,ymyl,commercial,MOFU,long-tail,health/safety
421,$1500 quick cash loans today,ymyl,transactional,BOFU,long-tail,finance
436,$300 tax refund,ymyl,info,TOFU,mid-tail,finance
438,$35 vanilla visa e-gift card paypal purchase,ymyl,transactional,BOFU,long-tail,finance
442,"$53,000 is placed in an investment account that grows at a fixed rate of 2% (compound growth) per year. how much is in the account after four years? round your answer to the nearest whole number.",ymyl,info,TOFU,long-tail,finance
465,$joe crypto,ymyl,info,TOFU,head,finance
613,"'expand-archive' is not recognized as an internal or external command,",general,info,TOFU,long-tail,-
842,(q017) how did the civil rights act of 1964 impact the airline industry?,general,info,TOFU,long-tail,-
844,(s) the exercise will begin on 4 may and end on 25 may(u) elements of this unit will participate in the exercise(u) unit members participating will be barkley and jamesthe security classification guide (scg) states:the unit that will participate in the exercise is unclassifiedthe exercise dates are secretparticipating members of the unit are unclassifiedthe new document states:(s) barkley and james cannot attend training during the exercise. they must attend before 4 may or after 25 may.identify the concept used to determine the derivative classification of the new document.,sensitive,info,TOFU,long-tail,-
849,"(solving for r of an annuity​) you lend a friend ​$​, which your friend will repay in equal annual​ end-of-year payments of ​$​, with the first payment to be received 1 year from now. what rate of return does your loan​ receive?",ymyl,info,TOFU,long-tail,finance
938,* explain what you believe to be the most pressing ethical leadership challenge facing those serving in your career field today. how can you exercise positive leadership to combat this challenge?,sensitive,info,TOFU,long-tail,-
979,++jamacian tourist visa on arrival,sensitive,info,MOFU,long-tail,legal
993,+1990-2000 investagtion of policeman steven kyle ticket or sex,sensitive,info,TOFU,long-tail,-
1062,+construction covid calculator change orders,ymyl,info,MOFU,long-tail,health/safety
1067,+crabtree and evelyn gardners ultra hand therapy,general,commercial,MOFU,long-tail,-
1118,+groves disease,ymyl,info,TOFU,head,health/safety
1145,+https://firstsa.org/first-lego-league-cargo-connect-challenge-team-registration-form/,general,navigational,BOFU,head,-
1232,+orl infection,ymyl,info,TOFU,head,health/safety
1255,+revisao de beneficios para herdeiros,ymyl,info,MOFU,long-tail,legal
1277,+skin rashes following pfeizer covid-19 vaccine,ymyl,info,TOFU,long-tail,health/safety
1281,+solutions for couples seeking for divorce as a christiany minister,ymyl,info,MOFU,long-tail,legal
1292,+tafelkirschen sortiermaschiene,general,info,TOFU,head,-
1326,+what is the follow up appoinments for hpv tonsil cancer uk,ymyl,info,TOFU,long-tail,health/safety
1356,+www.irs.gov/freefile,ymyl,navigational,BOFU,head,finance
1374,+zetflix,general,navigational,BOFU,head,-
1423,",knowledge, attitude, and practice about self medication with analgesic among nursing students",ymyl,info,TOFU,long-tail,health/safety
1438,- you have an error in your sql syntax;,general,info,TOFU,long-tail,-
1490,". introduction, summary, conclusion, and recommendations of the impact of electronic filing on taxpayers",general,info,TOFU,long-tail,-
1887,.netframework version v4.6.2,general,info,TOFU,mid-tail,-
1888,.netframeworkのバージョン確認,general,info,TOFU,head,-
1889,.netframework合集,general,info,TOFU,head,-
2038,/dev/fd/63: line 1: syntax error near unexpected token `<',general,info,TOFU,long-tail,-
2115,0 deposit mortgage first time buyer,ymyl,commercial,MOFU,long-tail,finance
2313,00888 etf,ymyl,info,TOFU,head,finance
2448,02500 hirson leclerc gaz electrique,general,navigational,BOFU,long-tail,-
2857,"1 - as massas de ar são classificadas como um tipo de fator climático, ou seja, um fenômeno atmosférico que influencia o clima de diferentes lugares da terra. quando uma massa de ar quente se desloca em direção a uma massa de ar frio que está parada sobre uma região, ocorre",general,info,TOFU,long-tail,-
2895,1 5 std in minuten,general,info,TOFU,long-tail,-
3007,1 cup oatmeal calories,general,info,TOFU,long-tail,-
3009,1 cup rolled oats calories,general,info,TOFU,long-tail,-
3030,1 dose covid vaccine,ymyl,info,TOFU,long-tail,health/safety
3070,1 hour covid pcr test,ymyl,info,MOFU,long-tail,health/safety
3098,1 keto pill at night,ymyl,commercial,MOFU,long-tail,health/safety
3211,1 scoop ice cream calories,general,info,TOFU,long-tail,-
3256,1 tsp extra virgin olive oil calories,general,info,TOFU,long-tail,-
3453,"1. huggins co. has identified an investment project with the following cash flows. if the discount rate is 10 percent, what is the present value of these cash flows? what is the present value at 18 percent? at 24 percent?",ymyl,info,TOFU,long-tail,finance
3457,"1. investigue sobre el tema del desarrollo del covid-19, argumentando sobre lo que se ha investigado. su ensayo argumentativo deberá ser no mayor de tres páginas sobre el tema expuesto.",ymyl,info,TOFU,long-tail,health/safety
3848,1/64th first gear volvo 600372,general,commercial,MOFU,long-tail,-
3882,10 000 gift tax free,ymyl,info,TOFU,long-tail,finance
3886,10 10a income tax,ymyl,info,MOFU,long-tail,finance
3889,10 14 2 income tax,ymyl,info,MOFU,long-tail,finance
3929,10 cereales que debes incluir en tu dieta,ymyl,info,TOFU,long-tail,health/safety
4164,10 week at home workout plan,ymyl,info,TOFU,long-tail,health/safety
4291,100 calories food,general,info,TOFU,mid-tail,-
4306,100 days my prince netflix,general,navigational,BOFU,long-tail,-
4342,100 keto recipes,general,info,TOFU,mid-tail,-
4458,1000 calories a day diet,ymyl,info,TOFU,long-tail,health/safety
4466,1000 exercises in factoring quadratic expressions,general,info,TOFU,long-tail,-
4954,1040 irs booklet,ymyl,info,TOFU,mid-tail,finance
4957,1040 tax biz store log in,ymyl,navigational,BOFU,long-tail,finance
4965,1040nr tax rates,ymyl,info,MOFU,mid-tail,finance
4966,1040sr irs form,ymyl,info,MOFU,mid-tail,finance
5059,1064 - you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '?' at line 1,general,info,TOFU,long-tail,-
5060,1064 - you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '{,general,info,TOFU,long-tail,-
5108,108 names of shiva hindi,general,info,TOFU,long-tail,-
5113,108/64 blood pressure,ymyl,info,TOFU,mid-tail,health/safety
5170,1098-t irs,ymyl,info,TOFU,head,finance
5182,1099 nec turbotax,general,navigational,BOFU,mid-tail,-
5185,1099 tax return calculator,ymyl,commercial,MOFU,long-tail,finance
5233,10k car loan calculator,ymyl,commercial,MOFU,long-tail,finance
5290,10th board result 2021 maharashtra,general,info,BOFU,long-tail,-
5473,11 dpo pregnancy symptoms,ymyl,info,TOFU,long-tail,health/safety
5505,11 rights of medication administration,ymyl,info,TOFU,long-tail,health/safety
5509,11 t mobile on credit report,ymyl,info,MOFU,long-tail,finance
5529,"11. as a member of congress, what changes would you suggest to fiscal policy to balance the budget and indirectly address inflation? suggest at least two specific changes to revenue and expenditures.",ymyl,info,TOFU,long-tail,finance
5656,112 covid,ymyl,info,TOFU,head,health/safety
5675,1120 tax payment coupon,ymyl,info,MOFU,long-tail,finance
5777,116/83 blood pressure,ymyl,info,TOFU,mid-tail,health/safety
5778,116/86 blood pressure,ymyl,info,TOFU,mid-tail,health/safety
5810,1177 covid vaccination halland,ymyl,info,TOFU,long-tail,health/safety
5815,117th congress house bills on veteran affairs on agent orange,ymyl,info,TOFU,long-tail,legal
5823,118/73 blood pressure,ymyl,info,TOFU,mid-tail,health/safety
5838,1188943 flush valve,general,info,MOFU,mid-tail,-
5886,11th biology book pdf maharashtra board,general,info,TOFU,long-tail,-
6019,12 hour intermittent fasting rules,ymyl,info,TOFU,long-tail,health/safety
6055,12 refugee mental health: a primary care approach,ymyl,info,TOFU,long-tail,health/safety
6217,121 over 78 blood pressure,ymyl,info,TOFU,long-tail,health/safety
6301,123/62 blood pressure,ymyl,info,TOFU,mid-tail,health/safety
6302,123/77 blood pressure,ymyl,info,TOFU,mid-tail,health/safety
6390,125 first st winter garden fl,general,navigational,BOFU,long-tail,-
6715,13 covid,ymyl,info,TOFU,head,health/safety
6760,13 the musical netflix,general,info,TOFU,long-tail,-
6838,1322 etf,ymyl,info,TOFU,head,finance
6845,133 over 86 blood pressure,ymyl,info,TOFU,long-tail,health/safety
6866,13421 sale tax rate,ymyl,info,MOFU,long-tail,finance
6878,135-16 northern blvd flushing ny 11354,general,navigational,BOFU,long-tail,-
7037,14 peaks netflix,general,navigational,BOFU,mid-tail,-
7149,14400 after tax,ymyl,info,MOFU,mid-tail,finance
7258,15 000 first time home buyer tax credit,ymyl,info,MOFU,long-tail,finance
7312,15 minute covid-19 antibody test,ymyl,info,TOFU,long-tail,health/safety
7327,15 screenshots that prove just how impossible it is to pay off student loans in america,sensitive,info,TOFU,long-tail,finance
7337,15 year mortgage rate trend chart,ymyl,info,MOFU,long-tail,finance
7338,15 year old covid vaccine,ymyl,info,TOFU,long-tail,health/safety
7379,150 mercury 4 stroke jet outboard motor for sale,general,commercial,MOFU,long-tail,-
7407,15000 loan over 10 years,ymyl,commercial,MOFU,long-tail,finance
7472,153/97 blood pressure,ymyl,info,TOFU,mid-tail,health/safety
7483,154/79 blood pressure,ymyl,info,TOFU,mid-tail,health/safety
7495,155/112 blood pressure,ymyl,info,TOFU,mid-tail,health/safety
7663,16 steps to fire safety timber frame 2018,ymyl,info,TOFU,long-tail,health/safety
7716,1602 i2c arduino,general,info,TOFU,mid-tail,-
