fever_id,claim,gold,originality,gpt-4o,gpt-5,gold_evidence
1076,James Jones missed the finals once.,True,False,False,False,"James_Jones_-LRB-basketball_player-RRB-#15: Jones has never been on an NBA team with a losing record and has only missed the playoffs once -- with the Trail Blazers in 2007 -- 08 . NBA NBA NBA_playoffs#0: The National Basketball Association -LRB- NBA -RRB- playoffs are a best-of-seven elimination tournament among 16 teams in the Eastern Conference and Western Conference -LRB- called divisions , pre-1970 -RRB- , ultimately deciding the league 's season champion in the NBA Finals . National Basketball Association National Basketball Association best-of-seven Best-of-seven playoff elimination tournament Knock-out tournament Eastern Conference Eastern Conference (NBA) Western Conference Western Conference (NBA) NBA Finals NBA Finals"
1746,Sheryl Lee has yet to work with Woody Allen.,False,False,True,True,"Sheryl_Lee#7: In 2016 , she appeared in Café Society , and also completed the Showtime revival of Twin Peaks -LRB- 2017 -RRB- , reprising her role of Laura Palmer . Laura Palmer Laura Palmer Twin Peaks Twin Peaks (2017 TV series) Café Society Café Society (film) Showtime Showtime (network) Café_Society_-LRB-film-RRB-#0: [missing]"
2447,Colin Kaepernick is a football player.,True,False,True,False,"Colin_Kaepernick#0: Colin Rand Kaepernick -LRB- -LSB- ` kæpərnɪk -RSB- ; born November 3 , 1987 -RRB- is an American football quarterback who is currently a free agent . American football American football quarterback quarterback Colin_Kaepernick#2: Kaepernick was selected by the San Francisco 49ers in the second round of the 2011 NFL Draft . San Francisco 49ers San Francisco 49ers 2011 NFL Draft 2011 NFL Draft Colin_Kaepernick#1: Kaepernick played collegiate football at the University of Nevada where he was named the Western Athletic Offensive Player of the Year twice and was the Most Valuable Player of the 2008 Humanitarian Bowl . Nevada Nevada Wolf Pack football collegiate football collegiate football University of Nevada Nevada Wolf Pack football Western Athletic Western Athletic Most Valuable Player Most Valuable Player 2008 Humanitarian Bowl 2008 Humanitarian Bowl Colin_Kaepernick#5: Kaepernick began his professional career as a backup to Alex Smith , but became the 49ers ' starter in the middle of the 2012 season after Smith suffered a concussion . Alex Smith Alex Smith 2012 season 2012 San Francisco 49ers season concussion concussion"
4091,Zac Efron's full name is Zac David Alexander Efron.,False,True,False,False,"Zac_Efron#0: Zachary David Alexander Efron -LRB- born October 18 , 1987 -RRB- is an American actor and singer . American Americans"
7041,Kareem Abdul-Jabbar is not ranked 3rd all-time in blocks.,False,False,True,False,Kareem_Abdul-Jabbar#18: He is ranked 3rd all-time in both rebounds and blocks . rebounds Rebound (basketball)
9504,Pink covered the song Rhythm Nation.,True,True,False,False,"Rhythm_Nation#23: It has been covered by Pink , Crystal Kay , and Girls ' Generation and has also been performed on Glee , The X-Factor , and Britain 's Got Talent . Pink Pink (singer) Crystal Kay Crystal Kay Glee Glee (TV series) The X-Factor The X-Factor"
10379,The horse was not called a Eohippus when it had multiple toes.,False,False,True,False,"Horse#2: The horse has evolved over the past 45 to 55 million years from a small multi-toed creature , Eohippus , into the large , single-toed animal of today . evolved evolution of the horse Eohippus Eohippus"
12319,Adam Lambert's album premiered at number one on the U.S. Billboard 200.,True,False,True,True,"Adam_Lambert#10: The album premiered at number one on the U.S. Billboard 200 , making him the first openly gay artist to top the album charts ."
15489,See You on the Other Side is a book.,False,True,True,False,"See_You_on_the_Other_Side_-LRB-Korn_album-RRB-#0: See You on the Other Side is the seventh studio album by Korn . Korn Korn studio album studio album See_You_on_the_Other_Side_-LRB-Korn_album-RRB-#2: It is their first album without long-time guitarist Brian `` Head '' Welch and the last album with original drummer David Silveria . David Silveria David Silveria See_You_on_the_Other_Side_-LRB-Korn_album-RRB-#3: The album was first certified gold in the United States on January 12 , 2006 ; a subsequent platinum record certification was awarded on March 16 , 2006 . gold gold record platinum record platinum record See_You_on_the_Other_Side_-LRB-Korn_album-RRB-#4: The album is best known for the involvement of renowned production team ` The Matrix ' , best known for coproduction on works by Avril Lavigne , Britney Spears , and Shakira , who managed to give Korn 's music a different sound . Korn Korn The Matrix The Matrix (production team) Avril Lavigne Avril Lavigne Britney Spears Britney Spears Shakira Shakira See_You_on_the_Other_Side_-LRB-Korn_album-RRB-#6: The album features layout design and an original painting by the American surrealist / gothic painter David Stoupakis as a cover , eleven more paintings by the artist appear for the additional artwork and the deluxe special edition . David Stoupakis David Stoupakis"
17054,A near-Earth object is not a large orbiting body.,False,True,True,True,Near-Earth_object#0: A near-Earth object -LRB- NEO -RRB- is any small Solar System body whose orbit brings it into proximity with Earth . small Solar System body small Solar System body Earth Earth
