expected,from_checker,reason_for_diff,statement,explanation
False,True,3,The United States dollar is not exclusively used in the United States.,"The U.S. dollar is used not only in the United States but also in several other countries and territories, such as Ecuador, El Salvador, and the British Virgin Islands."
False,True,3,A near-Earth object is not a large orbiting body.,"Near-Earth objects (NEOs) are defined as small Solar System bodies orbiting the Sun with perihelion less than 1.3 AU, explicitly excluding larger bodies such as planets and natural satellites."
False,True,3,Dan Brown published a 2003 bestselling novel.,"Dan Brown published 'The Da Vinci Code' in 2003, which became a bestselling novel."
True,False,3,"Ed Gagliardi died on April 11, 2014.","Multiple reliable sources including Wikipedia and Find a Grave confirm Ed Gagliardi died on May 11, 2014, not April 11, 2014."
True,False,3,"Colin Kaepernick starts for the San Francisco 49ers.""","Colin Kaepernick last played for the San Francisco 49ers in the 2016 season and has not been on an NFL roster since then, although he continues to train for a potential comeback."
True,False,3,Poldark has three series.,"The 2015 Poldark TV series aired for five series, not three, from 2015 to 2019 on BBC One."
False,True,3,Southpaw is an American novel.,"The Southpaw novel by Mark Harris is an American novel, written by an American author and set in America, as confirmed by multiple sources including Goodreads and Barnes & Noble."
True,False,3,Shadowhunters did not begin its second season in January 2017.,"Shadowhunters season 2 premiered on January 2, 2017, so it did begin its second season in January 2017."
True,False,3,Henri Kontinen won the Australian Open men's doubles championship in 2011.,"Henri Kontinen won the Australian Open men's doubles championship in 2017, not 2011, partnering with John Peers."
True,False,3,"University of Chicago Law School is ranked first for ""Faculty quality based on American Academy of Arts and Sciences Membership.""","The University of Chicago Law School is highly ranked in many categories but there is no evidence it is ranked first specifically for ""Faculty quality based on American Academy of Arts and Sciences Membership"" in the provided sources."
False,True,3,Arizona is a mass-marketed beverage.,"Arizona Beverages USA produces mass-marketed beverages such as iced teas and juice cocktails sold widely in retail outlets at a low price point, indicating it is a mass-marketed beverage brand."
False,True,3,The Hit is a painting.,"The Hit is indeed a painting by Frederic Leighton, as confirmed by multiple sources."
False,True,3,Starrcade was eventually broadcast via pay-per-view umbrella.,"Starrcade was originally broadcast via closed-circuit television and eventually became a pay-per-view event, as confirmed by multiple sources including Wikipedia and WWE's official site."
True,False,3,2016 Tour de France was not won by Chris Froome.,"Chris Froome won the 2016 Tour de France, as confirmed by multiple sources including Wikipedia and Cycling Weekly."
True,False,3,"During the Battle of France, English forces occupied Paris.","During the Battle of France, Paris was occupied by German forces on June 14, 1940, not English forces; the British and French forces evacuated and did not occupy Paris."
False,True,3,"On January 5, 1998, Sonny Bono perished.","Sonny Bono died on January 5, 1998, in a skiing accident at Heavenly Mountain Resort, as confirmed by multiple sources including Britannica and Tahoe Ski World."
False,True,3,No Country for Old Men is a drama.,"No Country for Old Men is widely described as a drama, as well as a neo-Western and thriller, with sources calling it a crime drama and a film with dramatic themes."
True,False,3,Dev Patel has not worked with Neill Blomkamp.,"Dev Patel starred in Neill Blomkamp's film 'Chappie' (2015), confirming they have worked together."
False,True,3,"George III of the United Kingdom experienced Great Britain as a dominant European power, including over the territories it controlled in America and India.","George III reigned during a period when Great Britain was a dominant European power with extensive territories in America and India, as evidenced by Britain's victory in the Seven Years' War and its control over colonial and Indian possessions during his reign."
