id,claim,correct,actual
205088,The Little Prince (2015 film) is incapable of being a film.,false,None
153261,The CONCACAF Champions League is a dead body.,false,None
17628,Jack Lowden is incapable of being an actor.,false,None
180578,Swordfish (film) is a film that is about a type of person.,true,None
78843,Skopje was contested between dead bodies.,false,None
153539,Superhuman abilities may be impeded by human enhancement by nanotechnology.,false,None
73412,Marco Polo was an Asia.,true,None
97251,Rob Sheridan was born on September.,false,None
140299,Donna Noble is unfamiliar with the Doctor Who franchise.,false,None
51435,There was an attempt to change Cyprus.,true,None
168003,Don Bradman had anything but declining years.,false,None
72358,Ripon College is in hell.,false,None
164420,Carey Hayes is illiterate.,false,None
72585,Scream became notable.,true,None
92988,See You on the Other Side is a boat.,false,None
145533,Estonia is a place.,true,None
178342,Al Jardine sang lead vocals on a song written by a songwriter.,true,None
204985,Tyler Perry is incapable of songwriting.,false,None
131487,A monster is always beautiful.,false,None
107654,Ned Stark is the dishonorable lord of Winterfell.,false,None
93546,Advertising is used to sell a way of doing things.,false,None
186325,The Hunchback of Notre Dame is notable only for its cast.,false,None
145491,George III of the United Kingdom had experiences.,false,None
192193,"Sacre-Coeur, Paris is an embodiment of conservative ethical order.",true,None
152811,Stephen Hillenburg has always hated the ocean.,false,None
120060,Vampires rarely visited loved ones.,false,None
201389,Varsity Blues (film) is incapable of being a film.,false,None
20782,John S. McCain Jr. graduated from the U.S. Naval Academy.,true,None
