url,ai_class,confidence
http://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/molds-food-are-they-dangerous,Human,0.9985
https://2peasrefugees.boards.net/thread/5134/tempurpedic-mattress-longer-2-years,Human,0.999
https://2peasrefugees.boards.net/thread/74560/make-lobster-tails,Human,0.9995
https://americanrarecoinandcollectibles.com/product-information-and-pricing-for-buyers/buyers-circulated-u-s-gold-coins,Human,1
https://blog.massmutual.com/planning/what-divorcees-should-consider-when-filing-for-social-security,Human,0.999
https://bmdforum.proboards.com/thread/248/cheating-on-girlfriend-baby-mama,Human,0.9985
https://bootcampdrivers.freeforums.net/thread/383/optimizing-windows-10-gaming-v2,Human,0.9995
https://caliberservices.ca/cheat-the-forest-ps4,Human,0.9995
https://carbuzz.com/nevi-charging-funding-temporary-injunction,Human,0.999
https://championships.usga.org/ussenioramateur/2025/articles/2025-us-senior-amateur-qualifying-results.html,Human,0.9609
https://championships.usga.org/ussenioropen/2026/tickets.html,Human,0.9941
https://datarecovee.com/how-to-add-shared-mailbox-in-outlook,AI,1
https://enapartebyaudrey.fr/cheat-the-forest-ps4,Human,0.9985
https://georgiaaccess.gov,Human,0.999
https://health.usnews.com/conditions/hyperkalemia,Human,0.9995
https://helpx.adobe.com/acrobat/kb/create-high-resolution-print-ready-pdf.html,Human,0.9873
https://helpx.adobe.com/acrobat/using/certificate-based-signatures.html,Human,0.9922
https://helpx.adobe.com/acrobat/using/digital-ids.html,Human,0.9995
https://helpx.adobe.com/acrobat/using/edit-text-pdfs.html,Human,0.9946
https://helpx.adobe.com/acrobat/using/enhance-camera-images.html,Human,0.9966
https://helpx.adobe.com/acrobat/using/fill-and-sign.html,Human,0.9985
https://helpx.adobe.com/acrobat/using/optimizing-pdfs-acrobat-pro.html,Human,0.8804
https://helpx.adobe.com/acrobat/using/pdf-to-word.html,Human,0.9951
https://helpx.adobe.com/acrobat/using/send-for-signature.html,Human,0.9995
https://helpx.adobe.com/acrobat/using/signing-pdfs.html,Human,0.9995
https://helpx.adobe.com/acrobat/web/share-review-and-export/export-and-print/compress-pdfs.html,Human,0.9951
https://helpx.adobe.com/acrobat/web/share-review-and-export/share-documents/unshare-pdfs.html,Human,0.9946
https://helpx.adobe.com/creative-cloud/help/uninstall-creative-cloud-desktop-app.html,Human,0.999
https://helpx.adobe.com/enterprise/using/admin-console.html,Human,0.9995
https://helpx.adobe.com/manage-account/using/change-email-address.html,Human,0.998
https://helpx.adobe.com/photoshop/kb/photoshop-cc-gpu-card-faq.html,Human,0.999
https://helpx.adobe.com/photoshop/using/quick-actions/remove-background.html,Human,0.9985
https://helpx.adobe.com/reader/using/fill-and-sign.html,Human,0.9995
https://helpx.adobe.com/reader/using/sign-pdfs.html,Human,0.9961
https://helpx.adobe.com/sign/authoring/fields/e-signature.html,Human,0.9995
https://helpx.adobe.com/sign/config/digital-signatures/overview.html,Human,0.9985
https://helpx.adobe.com/sign/how-to/use-fill-and-sign.html,Human,0.9995
https://helpx.adobe.com/sign/using/create-electronic-signature.html,Human,0.999
https://helpx.adobe.com/sign/using/field-types.html,Human,0.9995
https://helpx.adobe.com/sign/using/user-profile/my-signature.html,Human,0.999
https://helpx.adobe.com/support.html,Human,0.9976
https://helpx.adobe.com/x-productkb/global/determine-whether-computer-running-32.html,Human,0.9907
https://immunisationhandbook.health.gov.au/contents/vaccine-preventable-diseases/hepatitis-a,Human,0.9985
https://info.authorisationmanager.gov.au/manage-authorisations,Human,0.9995
https://investor.avinc.com/news-releases/news-release-details/aerovironment-announces-fiscal-2025-fourth-quarter-and-fiscal,Human,0.9995
https://investor.pacira.com/news-releases/news-release-details/pacira-biosciences-announces-new-product-specific-j-code-exparel,Human,0.9985
https://ir.immunitybio.com/news-releases/news-release-details/immunitybio-announces-permanent-j-code-j9028-anktivar-now,Human,0.9971
https://ir.mccormick.com/news-releases/news-release-details/mccormick-reports-strong-second-quarter-performance-and,Human,0.9917
https://iuhealth.org/find-medical-services/schizophrenia-thought-disorders,Human,0.999
https://iuhealth.org/thrive/is-it-covid-19-flu-or-a-cold,Human,0.9995
https://k923.fm/sturgis-falls-2025,Human,0.9976
https://learnenglish.britishcouncil.org/grammar/b1-b2-grammar/intensifiers-so-such,Human,0.998
https://nonstopswim.com/collections/pool-heaters-for-above-ground-pools,Human,0.9751
https://possibilityforjoy.proboards.com/thread/2220/pilot-season-tv-terms-explained,Human,0.9995
https://quickbooks.intuit.com/r/bookkeeping/accounting-ledger,Human,0.9976
https://screenrant.com/amazon-echo-show-how-turn-off-screen,Human,0.9985
https://screenrant.com/best-bg3-characters-should-return-bg4,Human,0.9946
https://screenrant.com/cocomelon-hello-kitty-sanrio-new-tv-show-anime,Human,0.9956
https://screenrant.com/f1-movie-racing-secret-damson-idris-kerry-condon-javier-bardem-interview,Human,0.999
https://screenrant.com/squid-game-front-man-spinoff-chances-addressed-lee-byung-hun,Human,0.9971
https://screenrant.com/squid-game-season-3-fan-theories-correct-reaction,Human,0.9966
https://screenrant.com/star-wars-high-republic-youngest-jedi-vern-anakin,Human,0.999
https://screenrant.com/star-wars-movies-anakin-vader-age-how-old,Human,0.9937
https://screenrant.com/teen-mom-leah-messer-talks-jason-jordan-split,Human,0.9995
https://screenrant.com/tesla-supercharger-host-eligibility-apply-explained,Human,0.9976
https://screenrant.com/the-forest-cheat-codes-pc-ps4,Human,0.999
https://screenrant.com/tracker-season-2-episode-20-review,Human,0.9946
https://screenrant.com/windows-11-move-taskbar-left-how-tutorial,Human,0.9995
https://shortpixel.com/blog/image-file-size-reducer,AI,1
https://store.carta-jerusalem.com/carta-map-bank/458-from-nazareth-to-cana-and-capernaum.html,Human,0.9995
https://support.hp.com/au-en/document/ish_5004190-4987856-16,Human,0.9897
https://support.hp.com/in-en/document/ish_6930187-6931079-16,Human,0.999
https://support.hp.com/us-en/document/ish_3102863-2949936-16,Human,0.9888
https://support.hp.com/us-en/document/ish_4469498-3477912-16,Human,0.8892
https://support.hp.com/us-en/document/ish_5004190-4987856-16,Human,0.9971
https://support.hp.com/us-en/document/ish_6930187-6931079-16,Human,0.9995
https://support.lenovo.com/lk/en/solutions/ht502786-how-to-identify-your-windows-10-version-a-list-of-windows-10-versions,Human,0.9956
https://support.lenovo.com/mn/en/solutions/ht502786-how-to-identify-your-windows-10-version-a-list-of-windows-10-versions,Human,0.9956
https://support.lenovo.com/pe/en/solutions/ht509328-how-to-show-or-hide-icons-on-your-taskbar-windows-10,Human,0.9995
https://support.lenovo.com/us/en/solutions/ht502786-how-to-identify-your-windows-10-version-a-list-of-windows-10-versions,Human,0.9956
https://support.lenovo.com/us/en/solutions/ht509044-how-to-enable-secure-boot-on-think-branded-systems-thinkpad-thinkstation-thinkcentre,Human,0.999
https://support.lenovo.com/us/en/solutions/ht509512-how-to-hide-the-taskbar-windows-10,Human,0.9985
https://support.lenovo.com/us/en/solutions/ht513478-how-to-identify-your-windows-11-version,Human,0.9985
https://support.lenovo.com/us/en/videos/nvid500327-windows-11-change-taskbar-alignment-lenovo-support-quick-tips,Human,0.999
https://support.practiceprotect.com/knowledge-base/adding-a-shared-mailbox-to-outlook,Human,0.9907
https://survivetheark.com/index.php,Human,0.9897
https://thetomatogarden.proboards.com/thread/252/san-marzano-thread,Human,0.9995
https://truthandtidings.com/2003/02/occupation-with-the-object,Human,0.999
https://wol.jw.org/en/wol/d/r1/lp-e/1101989303,Human,0.9995
https://wol.jw.org/en/wol/d/r1/lp-e/1200002598,Human,0.9985
