scifact_id,claim,classification
2,"1 in 5 million in UK have abnormal PrP positivity.",false
3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",true
5,"1/2000 in UK have abnormal PrP positivity.",true
9,"32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.",true
12,"40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.",true
22,"76-85% of people with severe mental disorder receive no treatment in low and middle income countries.",true
28,"A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).",false
30,"A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.",true
32,"A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.",false
34,"A deficiency of folate increases blood levels of homocysteine.",true
39,"A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.",true
40,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",false
41,"A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.",true
42,"A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.",false
44,"A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.",true
46,"A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.",true
47,"A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.",true
48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",false
49,"ADAR1 binds to Dicer to cleave pre-miRNA.",true
50,"AIRE is expressed in some skin tumors.",true
51,"ALDH1 expression is associated with better breast cancer outcomes.",false
52,"ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.",true
53,"ALDH1 expression is associated with poorer prognosis in breast cancer.",true
54,"AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.",false
55,"AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.",true
56,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.",true
57,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",false
