query_id,query_text,risk_category,intent_category,funnel_stage,length_category
1,symptoms of heart attack,YMYL,Informational,TOFU (Awareness),Long-tail
2,life insurance reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
3,apply for arthritis,YMYL,Transactional,BOFU (Decision),Mid-tail
4,cdc net neutrality rules guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
5,risks of diabetes,YMYL,Informational,TOFU (Awareness),Mid-tail
6,best tax deduction providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
7,order vaccination mandate now,YMYL,Transactional,BOFU (Decision),Long-tail
8,nih bitcoin investment study,YMYL,Navigational,MOFU (Consideration),Long-tail
9,guide to hypertension,YMYL,Informational,TOFU (Awareness),Mid-tail
10,trademark registration reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
11,apply for student loan,YMYL,Transactional,BOFU (Decision),Long-tail
12,irs asthma,YMYL,Navigational,MOFU (Consideration),Head
13,symptoms of dui laws,YMYL,Informational,TOFU (Awareness),Long-tail
14,top migraine services,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
15,fire evacuation plan pricing,YMYL,Transactional,BOFU (Decision),Long-tail
16,social security data privacy law,YMYL,Navigational,MOFU (Consideration),Long-tail
17,risks of heart attack,YMYL,Informational,TOFU (Awareness),Long-tail
18,immigration vs eviction,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
19,download identity theft protection form,YMYL,Transactional,BOFU (Decision),Long-tail
20,uscis eviction application,YMYL,Navigational,MOFU (Consideration),Mid-tail
21,symptoms of last will,YMYL,Informational,TOFU (Awareness),Long-tail
22,covid 19 reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
23,get vaccination mandate quote,YMYL,Transactional,BOFU (Decision),Long-tail
24,nih food poisoning treatment study,YMYL,Navigational,MOFU (Consideration),Long-tail
25,treatment options for vaccination mandate,YMYL,Informational,TOFU (Awareness),Long-tail
26,best breast cancer providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
27,personal injury claim pricing,YMYL,Transactional,BOFU (Decision),Long-tail
28,uscis breast cancer application,YMYL,Navigational,MOFU (Consideration),Long-tail
29,guide to bitcoin investment,YMYL,Informational,TOFU (Awareness),Long-tail
30,compare hurricane safety options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
31,life insurance pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
32,fema net neutrality rules resources,YMYL,Navigational,MOFU (Consideration),Long-tail
33,benefits of last will,YMYL,Informational,TOFU (Awareness),Long-tail
34,top tax reform bill services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
35,get diabetes quote,YMYL,Transactional,BOFU (Decision),Mid-tail
36,irs mortgage,YMYL,Navigational,MOFU (Consideration),Head
37,can food poisoning treatment be cured,YMYL,Informational,TOFU (Awareness),Long-tail
38,best student loan forgiveness providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
39,arthritis pricing,YMYL,Transactional,BOFU (Decision),Head
40,nih immigration study,YMYL,Navigational,MOFU (Consideration),Mid-tail
41,can hurricane safety be cured,YMYL,Informational,TOFU (Awareness),Long-tail
42,depression reviews,YMYL,Commercial Investigation,MOFU (Consideration),Head
43,minimum wage increase pricing,YMYL,Transactional,BOFU (Decision),Long-tail
44,social security electric vehicle incentives,YMYL,Navigational,MOFU (Consideration),Long-tail
45,benefits of student loan,YMYL,Informational,TOFU (Awareness),Long-tail
46,best gun control legislation providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
47,download data privacy law form,YMYL,Transactional,BOFU (Decision),Long-tail
48,uscis diabetes application,YMYL,Navigational,MOFU (Consideration),Mid-tail
49,what is last will,YMYL,Informational,TOFU (Awareness),Long-tail
50,top estate planning services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
51,apply for migraine,YMYL,Transactional,BOFU (Decision),Mid-tail
52,who healthcare reform factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
53,benefits of first aid basics,YMYL,Informational,TOFU (Awareness),Long-tail
54,patent filing cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
55,schedule tax deduction consultation,YMYL,Transactional,BOFU (Decision),Long-tail
56,uscis personal injury claim application,YMYL,Navigational,MOFU (Consideration),Long-tail
