query_id,query_text,triggered_ai_overview
2001150,how often should a 60 year old lift weights,b
471153,how to disable security software temporarily,y
4146142,what makes florida special,y
3546964,how to upcycle old clothing,y
3541044,how to fix waney edge cladding,b
2009255,how to reference a picture from a book,b
1996814,how did the simulated experience of linda waterfall’s case make you feel?,b
8742902,what color is your birth,y
1080004,when was myocarditis discovered,y
6610960,how to help gorillas,y
473198,how to hacking wifi network,n
472651,how to get gta 5 for free on pc on windows 10,n
1086996,why does my toilet run every 5 minutes,y
3539620,how to cure pork ham,b
3543616,how to make website easily,y
8141918,how to bleed ac system car,y
471762,how to export a database in sql server,b
8747370,what is natural light photography,y
3531989,how big was the crowd on jan 6th,b
8742783,what causes the tip of my tongue to burn,y
6610303,how to get free shipping from amazon,y
3540281,how to draw a girl easy,n
7209951,what does blackpill mean,n
4147074,what to put in bridal shower favor bags,y
463970,how do i say youre my love and hero elowuent!y,b
2604220,what drugs make you hallucinate,b
6611149,how to insert a solid line in word,y
5081342,how to super compress a pdf,y
4146986,what to do with oil after deep frying,y
2603066,what do i do when i drop my phone in water,y
3538716,how to check if marriage is registered,b
5080329,how to restrict remote desktop user access,y
1996723,how did jill biden meet joe biden,y
1086715,why do people believe conspiracy theories,b
5684385,when was joel osteen divorced,b
1087901,why therapy doesn't work for some people,n
5677297,what is a transfer airport for usps,b
5082359,how to view only fans for free,n
4142989,what is deca steroid,n
476377,how to restart application into unhandledexception by vb.net,b
7212781,what is data privacy and why is it important,b
8150573,how to tell someone to be more confident,b
2005236,how to find roblox codes,y
5683739,when does pansear learn ember,b
1076655,what kind of substance is being represented by the structure below?,b
8744804,what happens on st patrick's day,n
4897381,does biotin help your hair grow,y
5678016,what is delta h,n
8755036,which eboy are you quiz,n
2619899,why filioque should not divide christians,b
1073858,what is externality?,b
477023,how to show love to yourself,y
3542313,how to install a home safe,n
4156334,why does razer synapse update so much,b
1076968,what planets are in retrograde today,y
3543652,how to make your own roblox accessory,n
1996363,how big is a groundhog,n
5684440,when was the trinity introduced in the bible,y
4147013,what to eat with gallbladder pain,y
7211113,what happens in church,y
5678897,what is my medicare id number,y
2605077,what is a convict,n
5680579,what is the sign for hello,y
5676255,what happened to mr fresh asian,y
3537035,how pizza is made,y
4143653,what is low rank matrix,y
1074367,what is little christmas 2021,b
2607427,what is peppercorn sauce,y
8150005,how to shuffle a string in java,b
3546941,how to unlock supreme king jaden,n
2605304,what is a loan offset,y
7213560,what is messages app,b
5684253,when to leave wound open to air,n
4144469,what is sketchup viewer,b
8746197,what is cbd oil,b
3539890,how to determine biological age,y
5076980,how to give aman ablojob,n
1070020,what can you do in a minute,y
3542620,how to kill mites in your home and carpet,b
473286,how to homeschool high school students,b
5074406,how to convince someone to go to therapy,n
6603085,how long before you can walk on tile floor,y
4143868,what is my ip adress .com,n
1072942,what is a toilet slave,b
3537487,how to add quarters in excel pivot table,b
8749213,what is water cycle in short,b
5074196,how to configure configuration manager,b
3537944,how to become notary texas,y
8138246,how long did bill cowher coach steelers,y
6601472,how do i apply for my ex husbands social security,y
7212627,what is community development approach,b
2010174,how to set fire stick 4k remote to different tv,b
4143083,what is dynabook inc system,b
2009280,how to register for toyhouse,n
3547432,how to watch ginny and georgia for free,n
8747407,what is nodejs used for?,y
8151320,how to use my samsung tablet,y
4142508,what is anatomy and physiology 1,y
8760339,why is my msn in chinese,b
6612739,how to move the taskbar to the left windows 11,y
8760006,why has my cat become clingy,y
6602557,how does the mona lisa represent the louvre,b
5678114,what is ectomorph mesomorph endomorph,b
3539808,how to delete photos from fire 8,b
2008929,how to pronounce saja,y
8143099,how to connect a super nintendo to a smart tv,n
8136587,how do i change from edge to explorer,b
1086159,why are primaries important,b
477374,how to store seeds,y
1998883,how long does it take to cook menudo,y
2602267,what are the symptoms of too much potassium,y
2604321,what format for usb recovery drive,b
6611024,how to identify a beech tree,y
1072185,what if trotsky came to power,b
5690883,why did henry viii break from rome,b
5686857,which is the graph of f(x) = 3?,b
7215379,what is the state pension age for men uk,b
8148639,how to read a liberty 100 gas meter,n
4139309,what causes high osmolality?,y
8745145,what is a catchy slogan,y
465393,how long do nexplanon last,y
2002222,how to beat a recession,y
8150776,how to treat oral thrush in babies,y
4143611,what is legacy server,y
5081321,how to style button in react native,b
2001209,how old can tieflings be,y
4897470,does covid produce mucus,y
6614481,how to screen record with nvidia geforce,y
2603808,what does mast stand for,n
7211201,what helps with congestion,y
463005,how all the diversity in skin color from adam and eve,b
4142684,what is breath play,b
8138618,how long is a house,n
