query_id,query_text,triggered_ai_overview
1,symptoms of heart attack,y
2,life insurance reviews,n
3,apply for arthritis,b
4,cdc net neutrality rules guidelines,b
5,risks of diabetes,y
6,best tax deduction providers,b
7,order vaccination mandate now,b
8,nih bitcoin investment study,n
9,guide to hypertension,b
10,trademark registration reviews,y
11,apply for student loan,n
12,irs asthma,b
13,symptoms of dui laws,b
14,top migraine services,b
15,fire evacuation plan pricing,b
16,social security data privacy law,b
17,risks of heart attack,y
18,immigration vs eviction,b
19,download identity theft protection form,n
20,uscis eviction application,b
21,symptoms of last will,b
22,covid 19 reviews,b
23,get vaccination mandate quote,n
24,nih food poisoning treatment study,b
25,treatment options for vaccination mandate,b
26,best breast cancer providers,b
27,personal injury claim pricing,b
28,uscis breast cancer application,n
29,guide to bitcoin investment,n
30,compare hurricane safety options,b
31,life insurance pricing,y
32,fema net neutrality rules resources,b
33,benefits of last will,b
34,top tax reform bill services,n
35,get diabetes quote,b
36,irs mortgage,n
37,can food poisoning treatment be cured,b
38,best student loan forgiveness providers,b
39,arthritis pricing,b
40,nih immigration study,n
41,can hurricane safety be cured,b
42,depression reviews,b
43,minimum wage increase pricing,b
44,social security electric vehicle incentives,b
45,benefits of student loan,b
46,best gun control legislation providers,b
47,download data privacy law form,n
48,uscis diabetes application,n
49,what is last will,y
50,top estate planning services,b
51,apply for migraine,n
52,who healthcare reform factsheet,b
53,benefits of first aid basics,b
54,patent filing cost comparison,b
55,schedule tax deduction consultation,b
56,uscis personal injury claim application,b
57,can first aid basics be cured,b
58,breast cancer vs diabetes,b
59,schedule divorce consultation,b
60,cdc vaccination mandate guidelines,b
61,is heart attack worth it,b
62,schedule arthritis consultation,b
63,social security bankruptcy,y
64,can healthcare reform be cured,b
65,bitcoin investment cost comparison,b
66,apply for 401k,b
67,fema child car seat guidelines resources,b
68,what is carbon monoxide leak response,b
69,heart attack cost comparison,b
70,schedule immigration consultation,n
71,ama life insurance recommendations,b
72,benefits of mortgage,y
73,bankruptcy vs immigration,b
74,apply for first aid basics,b
75,cdc arthritis guidelines,b
76,benefits of breast cancer,n
77,affordable carbon monoxide leak response solutions,b
78,buy mortgage online,b
79,cdc mortgage guidelines,b
80,can identity theft protection be cured,b
81,affordable personal injury claim solutions,n
82,cdc roth ira guidelines,b
83,what is divorce,b
84,tax reform bill reviews,b
85,irs 401k,n
86,how does mortgage work,y
87,best vaccination mandate providers,b
88,order minimum wage increase now,b
89,uscis electric vehicle incentives application,b
90,treatment options for last will,b
91,credit score cost comparison,b
92,download credit score form,b
93,cdc immigration guidelines,b
94,how does cpr steps work,b
95,arthritis vs covid 19,b
96,find eviction near me,n
97,can eviction be cured,b
98,apply for student loan forgiveness,n
99,irs credit score,n
100,benefits of arthritis,b
101,trademark registration vs personal injury claim,b
102,irs divorce,n
103,what is identity theft protection,y
104,anxiety reviews,y
105,download eviction form,b
106,benefits of diabetes,n
107,is climate change policy worth it,b
108,get gun control legislation quote,b
109,cdc hurricane safety guidelines,b
110,what is dui laws,b
111,last will vs immigration,b
112,order patent filing now,b
113,social security healthcare reform,b
114,guide to index fund,b
115,is hypertension worth it,b
116,cybersecurity breach pricing,b
117,fema 401k resources,b
118,risks of migraine,y
119,is bitcoin investment worth it,n
120,schedule last will consultation,b
121,fema breast cancer resources,b
122,how does trademark registration work,y
123,dui laws cost comparison,b
