query_id,query_text,ymyl_category,url,ai_class,confidence
3336714,debt to equity conversion agreement,legal,https://realdealdocs.com/what-is-a-debt-conversion-agreement-and-how-can-it-be-used,AI,99.99
3147219,apply for an american visa,legal,https://globalconference.ca/how-should-i-prepare-for-a-usa-conference-visa-interview,AI,99.82
7183469,visa card business model,legal,https://www.chargeblast.com/blog/how-visa-mastercard-make-money,AI,98.43
2298070,philippines visa usa,legal,https://evisa-philippines.com/philippines-seamen-visa,AI,99.61
5072651,how to apply for a new zealand visa,legal,https://www.tataaig.com/travel-insurance/new-zealand-work-visa-for-indians,AI,99.84
5072651,how to apply for a new zealand visa,legal,https://www.gokite.travel/common-mistakes-to-avoid-when-applying-for-a-new-zealand-tourist-visa,AI,97.78
5072651,how to apply for a new zealand visa,legal,https://www.akbartravels.com/in/visas/new-zealand-work-visa,AI,99.78
1070613,what do lawyers do daily,legal,https://mwakili.com/blog/what-does-a-lawyer-do-on-a-daily-basis,AI,100.0
1070613,what do lawyers do daily,legal,https://www.legalsupportworld.com/blog/caseload-management-tips-for-law-firms,AI,98.47
1070613,what do lawyers do daily,legal,https://himalayas.app/job-descriptions/advocate,AI,99.99
519185,ir2 visa code,legal,https://fibilaw.com/blog/understanding-ir2-visa-requirements-process,AI,99.9
425605,green card name correction,legal,https://akilahharrispllc.com/the-ultimate-guide-to-legally-changing-your-name,AI,99.73
6743132,loan agreement promissory note,legal,https://www.klw-law.com/promissory-note-agreements-what-you-need-to-know,AI,99.8
3359690,do green card holders need visa for europe,legal,https://www.etiasvisa.eu.com/schengen-visa-for-green-card-holders,AI,99.56
7874714,child support and custody,legal,https://www.glaszlaw.com/family-law/child-custody,AI,99.53
7874714,child support and custody,legal,https://www.samdixonlaw.com/understanding-child-custody-in-jefferson-and-shelby-county-alabama,AI,99.86
7874714,child support and custody,legal,https://www.emilyrubensteinlaw.com/blog/legal-custody-vs-physical-custody,AI,99.57
3575121,indian visa for bangladeshi citizen,legal,https://oman-evisa.com/blog/oman-visa-for-bangladeshi-citizens,AI,99.19
8752218,when i can apply for citizenship,legal,https://www.clearhorizonlegalsolutions.com/blog/ultimate-guide-family-based-green-card,AI,99.99
740679,pa laws on eviction,legal,https://magicdoor.com/blog/colorado-eviction-laws,AI,99.25
7136650,transit visa for dubai for indians,legal,https://goniyo.com/blog/how-to-get-transit-visa-for-dubai-from-india,AI,98.87
2001969,how to adopt a child in india from usa,legal,https://www.ggutah.com/the-road-to-adoption-exploring-the-best-options-for-your-family,AI,100.0
8138170,how long can a divorce take in texas,legal,https://www.shelanderlaw.com/blog/2025/july/how-long-does-the-divorce-process-take-in-texas-,AI,99.99
6866652,online canada visa application,legal,https://goniyo.com/blog/canada-tourist-visa-from-india,AI,98.81
8174576,immigration to new zealand,legal,https://www.muval.com.au/blog/moving-to-new-zealand-from-australia,AI,99.98
2261710,online visa application,legal,https://simplevisa.com/12-frequently-asked-questions-about-electronic-visas-answered,AI,100.0
1028650,va dui code,legal,https://kgofirm.com/virginia-implied-consent-law,AI,98.69
1028650,va dui code,legal,https://www.ehrenworthlaw.com/criminal-defense/dui/felony-dui,AI,100.0
249676,cruel treatment divorce georgia,legal,https://www.fairellfirm.com/what-qualifies-a-spouse-for-alimony-in-georgia,AI,98.68
249676,cruel treatment divorce georgia,legal,https://www.chisolmtrimblelaw.com/navigating-divorce-from-a-narcissist-in-georgia-an-attorney-s-perspective,AI,100.0
7995090,effects of the civil rights movement,legal,https://www.numberanalytics.com/blog/the-struggle-for-racial-justice-a-political-history,AI,99.59
4918411,e6 visa south korea,legal,https://pureumlawoffice.com/korea-e-6-visa-requirements,AI,99.69
4918411,e6 visa south korea,legal,https://partners.shuttledelivery.co.kr/blog-posts/the-complete-guide-to-the-e-6-1-entertainment-visa-in-south-korea,AI,96.27
5105337,immigration policies in the us,legal,https://www.balisokkaufman.com/immigration,AI,99.99
5081091,how to sponsor an employee for a work visa,legal,https://www.getontop.com/blog/how-to-find-us-companies-that-are-hiring-foreign-workers,AI,99.88
