fever_id,claim,classification
139994,Scandal is from the 1950's.,False
86133,Rabies is a disease.,True
60162,Stephenie Meyer created Edward Cullen.,True
115386,Motion is good for heart health.,True
21853,Harold Macmillan worked in politics.,True
62919,"Trevor Griffiths was only born on April 14, 1935.",False
189874,Augutus Prew's mother was a clothing designer.,True
64966,Camp Flog Gnaw is a convention.,False
148755,Humphrey Bogart received an award nomination.,True
121645,Billboard Dad stars Ashley and Mary-Kate Olsen.,True
36829,Highway to Heaven is a Korean television series.,False
6539,Jack Falahee's birth year is 1989.,True
63627,Rhythm Nation was covered by an American singer and songwriter.,True
177974,"In some cultures, money is given away instead of candy when Trick-or-Treating.",True
119519,Scotty Moore was American and Irish.,False
225863,Revolver topped America's Billboard Top LP's list for six weeks in 1965.,False
17718,Hourglass is the sixteenth studio album of James Taylor.,False
30673,Sebastian Stan hasn't acted in a miniseries.,False
203374,Goosebumps (film) is based on a story by Jane Austen.,False
2405,Derek Hough starred in Make Your Move.,True
25247,The Bee Gees produced music.,True
112777,Exercise lowers resting heart rate.,True
197364,Simón Bolívar is still alive.,False
159315,Weill Cornell Medicine has no affiliation with medicine whatsoever.,False
50948,Sausage Party is a horror film.,False
135311,Robert Lorenz directed Trouble with the Curve.,True
204415,Brad Wilk was a member of Greta in 1990.,True
127981,Zoe Saldana was born on June 19.,True
2938,Legendary Entertainment is an independent company.,False
214787,The Tracey Fragments had its North American premiere at a film festival.,True
4246,Meteora is a country album.,False
78289,Temple of the Dog is the name of a band.,True
75728,X-Men: Apocalypse is a sequel directed by Bryan Singer.,True
166658,Anne Rice was born in the southern United States.,True
9849,Michigan is not a U.S. state.,False
1709,The IPhone 4 was marketed by Apple Inc..,True
68784,There is an island called Java.,True
199676,Andrea Pirlo plays for only one team.,False
199265,Prince Charles and Lady Diana eloped in July 1981.,False
108734,Manchester by the Sea is a film that was premiered at the Sundance Film Festival.,True
188136,Stephen Moyer worked with Ron Perlman.,True
116668,A Milli is a song by Lil Wayne.,True
45638,Annelise van der Pol declined to ever do musical theater.,False
144222,2 Hearts is a song by a human.,True
115183,The United States dollar is not exclusively used in the United States.,True
146015,Anushka Sharma won an award.,True
