fever_id,claim,classification
139994,Scandal is from the 1950's.,false
72194,Mellila is a city.,true
86133,Rabies is a disease.,true
60162,Stephenie Meyer created Edward Cullen.,true
115386,Motion is good for heart health.,true
21853,Harold Macmillan worked in politics.,true
62919,"Trevor Griffiths was only born on April 14, 1935.",false
189874,Augutus Prew's mother was a clothing designer.,true
64966,Camp Flog Gnaw is a convention.,false
148755,Humphrey Bogart received an award nomination.,true
121645,Billboard Dad stars Ashley and Mary-Kate Olsen.,true
36829,Highway to Heaven is a Korean television series.,false
169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,false
6539,Jack Falahee's birth year is 1989.,true
63627,Rhythm Nation was covered by an American singer and songwriter.,true
177974,"In some cultures, money is given away instead of candy when Trick-or-Treating.",true
119519,Scotty Moore was American and Irish.,false
225863,Revolver topped America's Billboard Top LP's list for six weeks in 1965.,true
17718,Hourglass is the sixteenth studio album of James Taylor.,false
30673,Sebastian Stan hasn't acted in a miniseries.,false
203374,Goosebumps (film) is based on a story by Jane Austen.,false
2405,Derek Hough starred in Make Your Move.,true
25247,The Bee Gees produced music.,true
112777,Exercise lowers resting heart rate.,true
66211,Psych (season 2) originally aired off of the USA Network.,false
197364,Simón Bolívar is still alive.,false
159315,Weill Cornell Medicine has no affiliation with medicine whatsoever.,false
50948,Sausage Party is a horror film.,false
135311,Robert Lorenz directed Trouble with the Curve.,true
204415,Brad Wilk was a member of Greta in 1990.,true
127981,Zoe Saldana was born on June 19.,true
2938,Legendary Entertainment is an independent company.,false
214787,The Tracey Fragments had its North American premiere at a film festival.,true
4246,Meteora is a country album.,false
78289,Temple of the Dog is the name of a band.,true
75728,X-Men: Apocalypse is a sequel directed by Bryan Singer.,true
166658,Anne Rice was born in the southern United States.,true
9849,Michigan is not a U.S. state.,false
34461,"Jewell is best known for her song ""Love or Lust,"" featured in Bill Duke's film, Deep Cover.",true
1709,The IPhone 4 was marketed by Apple Inc..,true
68784,There is an island called Java.,true
199676,Andrea Pirlo plays for only one team.,false
199265,Prince Charles and Lady Diana eloped in July 1981.,false
108734,Manchester by the Sea is a film that was premiered at the Sundance Film Festival.,true
188136,Stephen Moyer worked with Ron Perlman.,true
116668,A Milli is a song by Lil Wayne.,true
45638,Annelise van der Pol declined to ever do musical theater.,false
87414,John Goodman is a singer.,false
144222,2 Hearts is a song by a human.,true
115183,The United States dollar is not exclusively used in the United States.,false
146015,Anushka Sharma won an award.,true
175658,"Fabian Nicieza died December 31, 1961.",false
106392,Michael Hutchence died in a hotel room in Sydney.,true
41980,Aphrodite is married to the Greek god of blacksmiths.,true
29534,Temple Mount has nothing to do with an Abrahamic religion.,false
215504,Weekly Idol is hosted by a rapper.,true
130220,Same Old Love is by Demi Lovato.,false
177529,Brick Mansions starred Belle.,true
72132,Qin dynasty ended around 300 BC.,false
80303,Sandra Bullock was part of the George Lopez crew.,true
179302,Franchising is regulated in the United States.,true
85895,Garden State was shown at an American film fair.,true
120442,Daggering is a form of music.,false
193419,The Eighth Doctor has only ever aired on FX.,false
124264,Tye Sheridan is a dancer.,false
20605,Bad Romance was one of the worst-selling singles of all time.,false
70310,The Maze Runner is a motion picture.,true
196750,Marnie is a film.,true
147158,"NXT Tag Team Championship was created by World Wrestling Entertainment, Inc.",true
136427,Malta lies far to the south of the historical Melita.,false
80429,Saw II came out in a digital optical disc storage format.,true
17054,A near-Earth object is not a large orbiting body.,false
28593,The Wonder Years received a Peabody Award.,true
200262,Quentin Tarantino's original screenplay was the basis for the film Natural Born Killers.,true
187571,Dan Brown published a 2003 bestselling novel.,false
149286,T2 Trainspotting is set in and around Aberdeen.,false
116113,Lou Gehrig was voted a great first baseman.,true
194922,Stripes had a person appear in it.,true
127540,Guillermo del Toro was born.,true
136290,Java is an landform.,true
30638,Mandy Moore is an American citizen.,true
53676,Birthday Song (2 Chainz song) was produced by a producer.,true
205088,The Little Prince (2015 film) is incapable of being a film.,false
50529,Veep has won the Television Critics Association Award for Outstanding Achievement in Comedy.,true
221087,A&E is a German channel.,false
117000,Michigan is the eighth most populous of the 50 United States.,false
194221,Mike Friedrich is American.,true
97589,The Adventures of Pluto Nash was released in Africa.,false
126561,Johnny Van Zant became the lead vocalist for Lynyrd Skynyrd in 1997.,false
219130,Valencia is a city.,true
53796,A version of Despacito features Victor Manuelle.,true
163977,Veeram is an Indian Tamil film.,true
205102,Gaius Julius Caesar was only born in 430 BC.,false
225804,Chinatown was directed Quentin Tarantino exclusively.,false
173505,Sancho Panza is a character in a novel written by an author.,true
182267,Saturn Corporation is a registered voter.,false
88473,Edward G. Robinson is a star in The Cincinnati Kid.,true
165881,Buffy Summers appears in only in a film.,false
39405,Lou Gehrig was a baseball player who defended the area near the first base.,true
58800,Star Trek: Discovery is the first series since 2005's Star Trek Enterprise.,true
132355,David Packouz is a sculptor.,false
108755,The SpongeBob SquarePants Movie was directed by Stephen Hillenburg.,true
164506,The Nobel Prize in Chemistry was awarded to a person from anywhere except the Netherlands.,false
80970,Aristotle never visited Athens.,false
198066,Story of My Life was recorded by an English Irish band.,true
204630,Rio's sequel is a 2013 film.,false
160304,French Indochina was unofficially known as the Indochinese Union then the Indochinese Federation.,false
99849,Humphrey Bogart was not ranked greatest male star of Classic American cinema in 1999.,false
36333,Underdog was directed by a Belgian film director.,true
153261,The CONCACAF Champions League is a dead body.,false
85642,Neil Diamond has a middle name called Leslie.,true
18397,Scandal plays rock music.,true
57622,B. R. Ambedkar was the recipient of an award.,true
60144,James Brolin is not from America.,false
160814,Juventus Stadium in Turin is the home stadium for Juventus F.C.,true
8316,Brent Mydland was a member of the Grateful Dead.,true
